clean_audio_duration,noise_category,noise_type,snr_level,pesq_score,stoi_score,mse_score,buffer_queue_avg,buffer_droped_avg,worklet_ms_avg,worker_ms_avg,model1_ms_avg,model2_ms_avg
5.724,domestic,kitchen,-5 dB,1.395075,0.000000,0.000021,2.666667,0.000000,0.036667,1.383333,0.416667,0.833333
5.724,domestic,kitchen,0 dB,1.654019,0.057520,0.000022,3.166667,0.000000,0.040000,2.900000,0.283333,2.300000
5.724,domestic,kitchen,10 dB,2.000757,0.032939,0.000021,2.333333,0.000000,0.030000,1.100000,0.283333,0.683333
5.724,domestic,kitchen,5 dB,1.670408,0.057102,0.000021,2.000000,0.000000,0.035000,1.183333,0.400000,0.633333
5.724,domestic,living,-5 dB,1.302652,0.073267,0.000021,2.833333,0.000000,0.033333,1.100000,0.300000,0.716667
5.724,domestic,living,0 dB,1.700111,0.031067,0.000022,2.000000,0.000000,0.023333,0.850000,0.266667,0.516667
5.724,domestic,living,10 dB,1.884742,0.000000,0.000022,2.000000,0.000000,0.042500,1.050000,0.333333,0.650000
5.724,domestic,living,5 dB,1.526815,0.000000,0.000022,2.500000,0.000000,0.020000,0.966667,0.383333,0.533333
5.724,domestic,washing,-5 dB,1.813551,0.008288,0.000022,1.833333,0.000000,0.046667,0.866667,0.266667,0.550000
5.724,domestic,washing,0 dB,2.256856,0.000000,0.000022,2.666667,0.000000,0.034167,1.050000,0.316667,0.666667
5.724,domestic,washing,10 dB,2.833795,0.000000,0.000022,2.500000,0.000000,0.040000,0.866667,0.333333,0.500000
5.724,domestic,washing,5 dB,2.222267,0.025193,0.000022,3.833333,0.000000,0.051667,3.533333,0.383333,3.033333
5.724,nature,field,-5 dB,1.386282,0.000000,0.000022,1.666667,0.000000,0.043333,0.916667,0.333333,0.533333
5.724,nature,field,0 dB,1.872965,0.036954,0.000022,1.833333,0.000000,0.035833,1.083333,0.266667,0.733333
5.724,nature,field,10 dB,2.071374,0.023913,0.000022,3.333333,0.000000,0.025833,0.900000,0.266667,0.533333
5.724,nature,field,5 dB,1.933026,0.003313,0.000022,3.500000,0.000000,0.056667,1.116667,0.366667,0.633333
5.724,nature,park,-5 dB,1.308405,0.105504,0.000021,3.166667,0.000000,0.065833,0.900000,0.266667,0.516667
5.724,nature,park,0 dB,1.308067,0.114303,0.000023,2.666667,0.000000,0.060833,0.766667,0.216667,0.533333
5.724,nature,park,10 dB,1.678766,0.016078,0.000021,2.500000,0.000000,0.065000,0.833333,0.233333,0.533333
5.724,nature,park,5 dB,1.574084,0.026363,0.000022,2.333333,0.000000,0.030000,0.816667,0.233333,0.466667
5.724,nature,river,-5 dB,1.379401,0.074774,0.000022,2.666667,0.000000,0.064167,1.233333,0.350000,0.800000
5.724,nature,river,0 dB,1.455075,0.085152,0.000022,2.500000,0.000000,0.083333,0.783333,0.216667,0.466667
5.724,nature,river,10 dB,1.986035,0.003227,0.000022,2.666667,0.000000,0.070000,1.066667,0.283333,0.633333
5.724,nature,river,5 dB,1.567699,0.000000,0.000022,2.000000,0.000000,0.075833,0.933333,0.333333,0.533333
5.724,office,hallway,-5 dB,1.699370,0.056573,0.000022,1.666667,0.000000,0.069167,0.816667,0.200000,0.483333
5.724,office,hallway,0 dB,1.796174,0.006335,0.000022,3.166667,0.000000,0.111667,2.233333,1.383333,0.783333
5.724,office,hallway,10 dB,2.081364,0.004083,0.000021,3.166667,0.000000,0.073333,1.016667,0.283333,0.583333
5.724,office,hallway,5 dB,1.883423,0.062804,0.000023,2.166667,0.000000,0.099167,1.016667,0.250000,0.666667
5.724,office,meeting,-5 dB,1.134869,0.135816,0.000022,3.000000,0.000000,0.135000,0.950000,0.350000,0.516667
5.724,office,meeting,0 dB,1.238091,0.054865,0.000021,2.666667,0.000000,0.065000,1.200000,0.250000,0.900000
5.724,office,meeting,10 dB,1.519292,0.013560,0.000021,4.000000,0.000000,0.115833,0.966667,0.300000,0.566667
5.724,office,meeting,5 dB,1.390280,0.019335,0.000022,3.000000,0.000000,0.113333,0.933333,0.316667,0.516667
5.724,office,office,-5 dB,1.665658,0.068124,0.000021,3.333333,0.000000,0.096667,1.083333,0.366667,0.616667
5.724,office,office,0 dB,1.792896,0.009811,0.000021,3.000000,0.000000,0.079167,0.833333,0.266667,0.500000
5.724,office,office,10 dB,2.555771,0.000000,0.000022,3.833333,0.000000,0.134167,0.966667,0.316667,0.550000
