clean_audio_duration,noise_category,noise_type,snr_level,pesq_score,stoi_score,mse_score,buffer_queue_avg,buffer_droped_avg,worklet_ms_avg,worker_ms_avg,model1_ms_avg,model2_ms_avg
5.148,domestic,kitchen,-5 dB,1.212105,0.117251,0.000024,2.833333,0.000000,0.045000,1.150000,0.333333,0.716667
5.148,domestic,kitchen,0 dB,1.479401,0.119772,0.000024,2.833333,0.000000,0.059167,1.100000,0.366667,0.666667
5.148,domestic,kitchen,10 dB,1.757133,0.126604,0.000025,2.166667,0.000000,0.059167,1.000000,0.250000,0.600000
5.148,domestic,kitchen,5 dB,2.153376,0.108527,0.000023,1.833333,0.000000,0.045833,1.166667,0.350000,0.700000
5.148,domestic,living,-5 dB,1.222131,0.099795,0.000024,2.333333,0.000000,0.087500,0.933333,0.250000,0.600000
5.148,domestic,living,0 dB,1.601446,0.099614,0.000024,1.500000,0.000000,0.046667,1.200000,0.300000,0.733333
5.148,domestic,living,10 dB,1.757484,0.127077,0.000024,2.166667,0.000000,0.035000,1.150000,0.466667,0.566667
5.148,domestic,living,5 dB,1.674640,0.092137,0.000025,2.333333,0.000000,0.049167,0.966667,0.316667,0.583333
5.148,domestic,washing,-5 dB,1.354225,0.111224,0.000024,3.333333,0.000000,0.045000,0.966667,0.266667,0.600000
5.148,domestic,washing,0 dB,1.804080,0.099411,0.000024,2.833333,0.000000,0.056667,1.033333,0.283333,0.650000
5.148,domestic,washing,10 dB,2.422712,0.117464,0.000024,2.500000,0.000000,0.063333,1.000000,0.300000,0.616667
5.148,domestic,washing,5 dB,1.932114,0.121417,0.000024,2.500000,0.000000,0.068333,1.016667,0.300000,0.650000
5.148,nature,field,-5 dB,1.638782,0.099361,0.000024,1.500000,0.000000,0.081667,0.933333,0.233333,0.566667
5.148,nature,field,0 dB,1.542486,0.125243,0.000024,4.333333,0.000000,0.066667,1.150000,0.350000,0.650000
5.148,nature,field,10 dB,2.118881,0.094230,0.000025,3.166667,0.000000,0.080000,1.166667,0.316667,0.733333
5.148,nature,field,5 dB,2.070051,0.103979,0.000024,2.833333,0.000000,0.098333,1.100000,0.283333,0.716667
5.148,nature,park,-5 dB,1.137629,0.098318,0.000024,2.833333,0.000000,0.068333,0.833333,0.283333,0.516667
5.148,nature,park,0 dB,1.531366,0.116919,0.000024,2.833333,0.000000,0.098333,1.066667,0.300000,0.666667
5.148,nature,park,10 dB,1.594976,0.130308,0.000024,2.166667,0.000000,0.070000,1.266667,0.333333,0.766667
5.148,nature,park,5 dB,1.397518,0.093598,0.000024,3.000000,0.000000,0.065000,1.150000,0.350000,0.666667
5.148,nature,river,-5 dB,1.158889,0.284774,0.000024,3.000000,0.000000,0.075833,0.800000,0.166667,0.500000
5.148,nature,river,0 dB,1.633578,0.102254,0.000024,3.000000,0.000000,0.065000,1.016667,0.283333,0.683333
5.148,nature,river,10 dB,1.815996,0.098276,0.000024,1.833333,0.000000,0.074167,1.133333,0.266667,0.666667
5.148,nature,river,5 dB,1.461839,0.090328,0.000024,2.833333,0.000000,0.071667,1.050000,0.300000,0.700000
5.148,office,hallway,-5 dB,1.974154,0.110312,0.000024,3.000000,0.000000,0.083333,1.066667,0.283333,0.650000
5.148,office,hallway,0 dB,2.035026,0.097606,0.000024,2.333333,0.000000,0.085833,1.133333,0.433333,0.616667
5.148,office,hallway,10 dB,1.742408,0.108121,0.000024,2.000000,0.000000,0.084167,0.833333,0.266667,0.533333
5.148,office,hallway,5 dB,1.771484,0.111058,0.000025,1.333333,0.000000,0.072500,0.833333,0.250000,0.500000
5.148,office,meeting,-5 dB,1.062902,0.160796,0.000024,3.000000,0.000000,0.090833,1.166667,0.333333,0.716667
5.148,office,meeting,0 dB,1.260150,0.131586,0.000024,2.833333,0.000000,0.094167,0.950000,0.316667,0.583333
5.148,office,meeting,10 dB,1.598740,0.133262,0.000024,3.166667,0.000000,0.101667,1.150000,0.366667,0.683333
5.148,office,meeting,5 dB,1.526278,0.138845,0.000024,2.666667,0.000000,0.074167,1.066667,0.283333,0.700000
5.148,office,office,-5 dB,1.361099,0.106524,0.000024,4.666667,0.000000,0.070833,1.050000,0.316667,0.666667
5.148,office,office,0 dB,1.581507,0.122366,0.000024,2.333333,0.000000,0.061667,0.900000,0.250000,0.550000
5.148,office,office,10 dB,2.101203,0.110659,0.000024,3.000000,0.000000,0.074167,0.983333,0.300000,0.583333
5.148,office,office,5 dB,1.757146,0.129352,0.000024,2.666667,0.000000,0.078333,1.033333,0.316667,0.666667
5.148,public,cafeter,-5 dB,1.113775,0.165597,0.000024,2.166667,0.000000,0.036667,0.816667,0.200000,0.550000
5.148,public,cafeter,0 dB,1.415626,0.115734,0.000024,2.166667,0.000000,0.047500,1.166667,0.316667,0.716667
5.148,public,cafeter,10 dB,1.739595,0.107033,0.000025,2.833333,0.000000,0.051667,0.766667,0.233333,0.466667
5.148,public,cafeter,5 dB,1.643910,0.105382,0.000024,2.500000,0.000000,0.049167,1.266667,0.400000,0.783333
5.148,public,resto,-5 dB,1.057371,0.136281,0.000024,2.500000,0.000000,0.079167,1.116667,0.300000,0.700000
5.148,public,resto,0 dB,1.212282,0.105798,0.000024,1.666667,0.000000,0.042500,0.983333,0.316667,0.583333
5.148,public,resto,10 dB,1.677966,0.117842,0.000023,1.833333,0.000000,0.074167,1.133333,0.250000,0.800000
5.148,public,resto,5 dB,1.406403,0.113114,0.000023,3.000000,0.000000,0.040833,1.033333,0.333333,0.666667
5.148,public,station,-5 dB,1.190734,0.132713,0.000024,2.166667,0.000000,0.053333,1.083333,0.316667,0.650000
5.148,public,station,0 dB,1.303972,0.100181,0.000024,2.500000,0.000000,0.063333,1.083333,0.300000,0.716667
5.148,public,station,10 dB,1.719980,0.087501,0.000023,3.000000,0.000000,0.047500,1.033333,0.316667,0.616667
5.148,public,station,5 dB,1.704413,0.081079,0.000024,2.666667,0.000000,0.037500,1.016667,0.250000,0.666667
5.148,street,square,-5 dB,1.210401,0.140449,0.000024,2.500000,0.000000,0.031667,1.000000,0.316667,0.583333
5.148,street,square,0 dB,1.938556,0.091857,0.000024,3.000000,0.000000,0.041667,0.950000,0.283333,0.550000
5.148,street,square,10 dB,2.013523,0.105994,0.000025,4.333333,0.000000,0.031667,0.850000,0.266667,0.483333
5.148,street,square,5 dB,1.876500,0.123118,0.000024,2.333333,0.000000,0.059167,1.033333,0.300000,0.616667
5.148,street,traffic,-5 dB,1.351607,0.101119,0.000025,2.666667,0.000000,0.040833,0.883333,0.250000,0.533333
